排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'392,SZ000928.中钢国际,'6.34,'+0.16%,'0.93,'10.66,12.78%,1.47%,'1.06,4.72%,10.20%,'91,'+4.22%,工程咨询服务
'393,SH603311.金海高科,'11.87,'+0.25%,'0.94,'31.14,49.13%,'-,'2.06,1.01%,6.87%,'28,'+20.18%,家电行业
'394,SH605155.西大门,'13.05,'+3.00%,'0.94,'20.46,22.76%,'-,'1.92,1.92%,9.66%,'25,'+32.47%,家用轻工
'395,SZ000021.深科技,'18.71,'+0.59%,'0.95,'29.39,33.30%,0.83%,'2.39,1.02%,8.53%,'290,'-0.76%,消费电子
'396,SH600018.上港集团,'5.70,0.00%,'0.96,'8.75,10.08%,0.71%,'0.97,3.42%,11.47%,'1327,'-4.45%,航运港口
'397,SH600060.海信视像,'22.51,'-1.96%,'0.96,'12.59,16.26%,4.35%,'1.45,3.58%,11.86%,'294,'+12.89%,家电行业
'398,SH600575.淮河能源,'3.55,'+0.28%,'0.96,'16.95,18.58%,0.38%,'1.17,3.38%,7.05%,'138,'-10.58%,电力行业
'399,SH601216.君正集团,'5.39,'+0.19%,'0.96,'14.68,17.05%,1.24%,'1.61,2.78%,11.07%,'455,'+5.37%,化学原料
'400,SH603298.杭叉集团,'21.70,'+1.73%,'0.96,'13.67,14.52%,4.11%,'2.68,2.30%,21.25%,'284,'+24.52%,工程机械
'401,SZ002825.纳尔股份,'10.62,'+1.05%,'0.96,'20.28,28.67%,'-,'2.25,1.33%,11.60%,'36,'+37.35%,塑料制品
'402,SH600900.长江电力,'27.97,'-0.46%,'0.97,'20.30,20.93%,6.19%,'3.17,3.37%,16.00%,'6844,'-2.27%,电力行业
'403,SH601098.中南传媒,'12.99,'+0.08%,'0.97,'16.03,14.32%,4.78%,'1.46,4.23%,9.21%,'233,'-10.52%,文化传媒
